,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
434,RCOM,EQ,2019-02-11,5.35,5.75,5.75,5.2,5.35,5.35,5.35,62523776,334552325.2,25040,9594411,15.35,2,2019,19.234031350274446,0.0,Slight or No change
435,RCOM,EQ,2019-02-12,5.35,5.35,5.75,5.1,5.6,5.65,5.41,88569746,479551284.45,30659,13550660,15.3,2,2019,19.20143721562307,0.056074766355140415,Slight or No change
436,RCOM,EQ,2019-02-13,5.65,5.55,6.05,5.35,5.75,5.8,5.77,124810464,720472989.05,52589,12312563,9.87,2,2019,19.156958497658476,0.0265486725663715,Slight or No change
437,RCOM,EQ,2019-02-14,5.8,5.75,5.75,5.2,5.65,5.55,5.52,90978467,501885329.85,34636,18468677,20.3,2,2019,19.12411965562966,-0.0431034482758621,Slight or No change
438,RCOM,EQ,2019-02-15,5.55,5.5,5.7,5.4,5.45,5.5,5.53,56200999,310962284.65,24834,7861702,13.99,2,2019,19.103927566067075,-0.009009009009009028,Slight or No change
439,RCOM,EQ,2019-02-18,5.5,6.05,6.85,5.9,6.15,6.1,6.14,105009120,644807886.3,45477,16232368,15.46,2,2019,19.068048087896347,0.10909090909090913,Slight or No change
440,RCOM,EQ,2019-02-19,6.1,6.2,6.2,5.95,6.05,6.0,6.1,53952257,329077217.35,22491,8725701,16.17,2,2019,19.04963402528834,-0.016393442622950727,Slight or No change
441,RCOM,EQ,2019-02-20,6.0,6.1,6.15,5.45,6.0,5.75,5.72,134464383,768801965.8,52194,15184204,11.29,2,2019,19.002627662520318,-0.04166666666666663,Slight or No change
442,RCOM,EQ,2019-02-21,5.75,5.85,6.55,5.7,6.45,6.35,6.06,115064994,697353593.5,45498,21068382,18.31,2,2019,18.963688353250316,0.10434782608695636,Slight or No change
443,RCOM,EQ,2019-02-22,6.35,6.35,7.65,6.25,6.5,6.5,6.87,244157493,1676795054.05,86265,45375729,18.58,2,2019,18.886972048646935,0.023622047244094446,Slight or No change
